TaxaRemoção;ImportânciaTotal;LatênciaEfetivaMédia
0;64;0.43346
0.01;64;0.43346
0.02;64;0.43346
0.03;64;0.43346
0.04;64;0.43346
0.05;64;0.43346
0.060000000000000005;64;0.43346
0.07;58;0.485402
0.08;58;0.485402
0.09;33;0.321096
0.09999999999999999;64;0.43346
0.10999999999999999;40;0.463992
0.11999999999999998;53;0.447279
0.12999999999999998;25;0.306122
0.13999999999999999;58;0.485402
0.15;64;0.43346
0.16;58;0.485402
0.17;40;0.463992
0.18000000000000002;30;0.412258
0.19000000000000003;36;0.443107
0.20000000000000004;64;0.43346
0.21000000000000005;33;0.321096
0.22000000000000006;28;0.612273
0.23000000000000007;58;0.485402
0.24000000000000007;33;0.593062
0.25000000000000006;41;0.379974
0.26000000000000006;48;0.459972
0.2700000000000001;64;0.43346
0.2800000000000001;15;0.341547
0.2900000000000001;19;0.313725
0.3000000000000001;64;0.43346
0.3100000000000001;49;0.395283
0.3200000000000001;33;0.449582
0.3300000000000001;43;0.470165
0.34000000000000014;27;0.559884
0.35000000000000014;58;0.485402
0.36000000000000015;38;0.464947
0.37000000000000016;34;0.526831
0.38000000000000017;32;0.498837
0.3900000000000002;10;0
0.4000000000000002;41;0.379974
0.4100000000000002;40;0.413824
0.4200000000000002;43;0.513639
0.4300000000000002;26;0.331865
0.4400000000000002;38;0.481263
0.45000000000000023;44;0.468968
0.46000000000000024;31;0.467913
0.47000000000000025;10;0
0.48000000000000026;32;0.494139
0.49000000000000027;20;0.329987
0.5000000000000002;26;0.554364
0.5100000000000002;64;0.43346
0.5200000000000002;13;0.836597
0.5300000000000002;49;0.488553
0.5400000000000003;30;0.440955
0.5500000000000003;46;0.45092
0.5600000000000003;22;0.485277
0.5700000000000003;48;0.459972
0.5800000000000003;40;0.413824
0.5900000000000003;27;0.467275
0.6000000000000003;25;0.550965
0.6100000000000003;19;0.450279
0.6200000000000003;10;0
0.6300000000000003;1;0
0.6400000000000003;33;0.593062
0.6500000000000004;25;0.478157
0.6600000000000004;17;0.400366
0.6700000000000004;4;0.286047
0.6800000000000004;10;0
0.6900000000000004;31;0.467913
0.7000000000000004;20;0.553095
0.7100000000000004;8;0.151293
0.7200000000000004;3;0.162601
0.7300000000000004;7;0
0.7400000000000004;10;0
0.7500000000000004;22;0.418848
0.7600000000000005;8;0
0.7700000000000005;2;0
0.7800000000000005;8;0
0.7900000000000005;8;0
0.8000000000000005;1;0
0.8100000000000005;0;0
0.8200000000000005;11;0.310131
0.8300000000000005;1;0
0.8400000000000005;7;0
0.8500000000000005;0;0
0.8600000000000005;0;0
0.8700000000000006;4;0.286047
0.8800000000000006;2;0
0.8900000000000006;10;0.855551
0.9000000000000006;2;0
0.9100000000000006;10;0
0.9200000000000006;1;0
0.9300000000000006;0;0
0.9400000000000006;0;0
0.9500000000000006;1;0
0.9600000000000006;0;0
0.9700000000000006;0;0
0.9800000000000006;0;0
1;0;0
